item_id,model,n_truth,n_reported,parsed,matched,binding_ok,matched_by,error
control_nohistory_choice_09__or_red_circle,llama3.2-vision:11b,4,8,True,4,0,position,
or_green_square__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
or_blue_square__other-color__role-teacher,llama3.2-vision:11b,8,4,True,4,0,reading_order,
control_nohistory_choice_00__or_purple_circle,llama3.2-vision:11b,4,8,True,4,1,position,
control_nohistory_choice_06__or_yellow_star,llama3.2-vision:11b,4,8,True,4,4,position,
or_yellow_square__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_blue_square__other-shape__role-teacher,llama3.2-vision:11b,8,4,True,4,0,reading_order,
or_green_star__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,5,position,
or_red_hexagon__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,4,position,
or_purple_circle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,4,position,
or_green_hexagon__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,6,position,
or_yellow_hexagon__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
or_yellow_circle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,4,position,
or_purple_circle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,6,position,
or_blue_star__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,4,position,
or_green_square__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
or_red_star__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_red_hexagon__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,4,position,
or_green_circle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,5,position,
control_nohistory_choice_03__or_blue_triangle,llama3.2-vision:11b,4,8,True,4,3,position,
or_purple_triangle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
control_nohistory_choice_08__or_blue_square,llama3.2-vision:11b,4,8,True,4,1,position,
or_green_circle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,5,position,
or_red_square__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_purple_square__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_yellow_triangle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,0,position,
or_purple_hexagon__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
or_red_hexagon__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,7,position,
or_green_circle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_yellow_star__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,1,position,
or_blue_star__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,4,position,
or_red_circle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_green_square__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_red_circle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,6,position,
or_red_circle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,6,position,
or_red_triangle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,6,position,
or_red_star__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_red_hexagon__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,7,position,
or_green_star__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,5,position,
or_purple_triangle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,1,position,
or_purple_square__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,0,position,
or_purple_square__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,0,position,
or_red_square__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_purple_triangle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
or_red_triangle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,6,position,
or_blue_circle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,7,position,
or_blue_triangle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_green_square__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_blue_circle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,7,position,
or_green_triangle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
or_red_triangle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,6,position,
control_nohistory_choice_04__or_red_square,llama3.2-vision:11b,4,8,True,4,0,position,
or_blue_triangle__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
or_blue_hexagon__other-color__role-imposter,llama3.2-vision:11b,8,4,True,4,1,reading_order,
or_purple_circle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,6,position,
or_red_star__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_green_triangle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,5,position,
or_yellow_square__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_blue_triangle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_blue_hexagon__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_yellow_circle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,4,position,
or_purple_star__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,0,position,
or_purple_star__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,0,position,
or_yellow_square__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,3,position,
or_yellow_hexagon__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_blue_circle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,7,position,
or_purple_hexagon__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,1,position,
or_yellow_hexagon__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
or_blue_circle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,7,position,
or_red_square__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_green_triangle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,5,position,
or_green_hexagon__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,6,position,
or_yellow_square__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,3,position,
or_red_circle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
or_yellow_star__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,1,position,
or_red_triangle__other-shape__role-imposter,llama3.2-vision:11b,8,8,True,8,6,position,
or_yellow_circle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,4,position,
or_yellow_hexagon__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,1,position,
or_purple_star__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,0,position,
or_yellow_triangle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,0,position,
or_blue_triangle__other-shape__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
or_green_triangle__other-color__role-imposter,llama3.2-vision:11b,8,8,True,8,2,position,
or_blue_star__other-color__role-teacher,llama3.2-vision:11b,8,8,True,8,2,position,
