item_id,model,n_truth,n_reported,parsed,matched,binding_ok,matched_by,error
or_green_hexagon__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_yellow_hexagon__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_yellow_circle__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_purple_circle__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_blue_star__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_green_square__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_red_star__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_red_hexagon__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_green_circle__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
control_nohistory_choice_03__or_blue_triangle,gemma3:12b,4,8,True,4,0,position,
or_purple_triangle__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
control_nohistory_choice_08__or_blue_square,gemma3:12b,4,8,True,4,0,position,
or_green_circle__other-color__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_red_square__other-shape__role-teacher,gemma3:12b,8,10,True,8,0,position,
or_purple_square__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_yellow_triangle__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_purple_hexagon__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_hexagon__other-shape__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_green_circle__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_yellow_star__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_blue_star__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_circle__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_green_square__other-shape__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_red_circle__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_circle__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_red_triangle__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_star__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_hexagon__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_green_star__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_purple_triangle__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_purple_square__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_purple_square__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_square__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_purple_triangle__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_triangle__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_blue_circle__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_blue_triangle__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_green_square__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_blue_circle__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_green_triangle__other-color__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_red_triangle__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
control_nohistory_choice_04__or_red_square,gemma3:12b,4,8,True,4,0,position,
or_blue_triangle__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_blue_hexagon__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_purple_circle__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_red_star__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_green_triangle__other-shape__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_yellow_square__other-shape__role-imposter,gemma3:12b,8,8,True,8,2,position,
or_blue_triangle__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_blue_hexagon__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_yellow_circle__other-shape__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_purple_star__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_purple_star__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_yellow_square__other-shape__role-teacher,gemma3:12b,8,8,True,8,2,position,
or_yellow_hexagon__other-shape__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_blue_circle__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_purple_hexagon__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_yellow_hexagon__other-color__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_blue_circle__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_red_square__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_green_triangle__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_green_hexagon__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_yellow_square__other-color__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_red_circle__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_yellow_star__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_red_triangle__other-shape__role-imposter,gemma3:12b,8,8,True,8,0,position,
or_yellow_circle__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_yellow_hexagon__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_purple_star__other-color__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_yellow_triangle__other-shape__role-teacher,gemma3:12b,8,8,True,8,1,position,
or_blue_triangle__other-shape__role-teacher,gemma3:12b,8,8,True,8,0,position,
or_green_triangle__other-color__role-imposter,gemma3:12b,8,8,True,8,1,position,
or_blue_star__other-color__role-teacher,gemma3:12b,8,8,True,8,0,position,
